ID,ESG_DISC_SCORE,YEAR
TLGTQ US Equity,14.04959965,2010
TLGTQ US Equity,15.28929996,2013
TLGTQ US Equity,16.52890015,2016
TLGTQ US Equity,17.35540009,2020
QUAD US Equity,11.15699959,2010
QUAD US Equity,11.98349953,2012
QUAD US Equity,13.22309971,2013
QUAD US Equity,15.28929996,2014
QUAD US Equity,16.52890015,2016
QUAD US Equity,20.66119957,2019
DESTQ US Equity,12.91870022,2010
DESTQ US Equity,18.6602993,2017
DESTQ US Equity,20.09569931,2019
SRT US Equity,11.15699959,2010
SRT US Equity,16.52890015,2017
BIOL US Equity,14.8760004,2010
BIOL US Equity,17.35540009,2015
MTRX US Equity,11.15699959,2010
MTRX US Equity,14.04959965,2014
MTRX US Equity,16.11569977,2017
MTRX US Equity,16.94210052,2018
MTRX US Equity,17.76860046,2020
FTEK US Equity,12.80990028,2010
FTEK US Equity,14.04959965,2013
FTEK US Equity,15.28929996,2016
FTEK US Equity,16.52890015,2017
ABEO US Equity,12.80990028,2010
ABEO US Equity,15.28929996,2016
GDRZF US Equity,11.98349953,2010
GDRZF US Equity,11.15699959,2017
CIA US Equity,11.84210014,2010
CIA US Equity,16.22809982,2017
CIA US Equity,17.54389954,2020
PSTV US Equity,11.15699959,2010
PSTV US Equity,12.80990028,2016
PSTV US Equity,14.04959965,2017
PSTV US Equity,15.28929996,2020
QUIK US Equity,15.28929996,2010
DSX US Equity,8.264499664,2010
DSX US Equity,9.504099846,2018
DSX US Equity,19.00830078,2019
CGRN US Equity,11.15699959,2010
CGRN US Equity,16.11569977,2016
EGY US Equity,14.10789967,2010
EGY US Equity,16.18260002,2016
EGY US Equity,25.31119919,2019
WTI US Equity,11.20330048,2010
WTI US Equity,16.59749985,2017
WTI US Equity,17.42740059,2018
SMED US Equity,11.15699959,2012
SMED US Equity,12.80990028,2017
CRBO US Equity,5.371900082,2010
CRBO US Equity,9.090900421,2011
CRBO US Equity,11.15699959,2012
CRBO US Equity,14.04959965,2017
CRBO US Equity,14.8760004,2018
CTSO US Equity,16.52890015,2015
CECE US Equity,11.15699959,2010
CECE US Equity,16.11569977,2017
CECE US Equity,15.28929996,2018
IMGN US Equity,11.15699959,2010
IMGN US Equity,7.851200104,2015
IMGN US Equity,14.04959965,2017
DRRX US Equity,11.15699959,2010
DRRX US Equity,14.04959965,2017
EVC US Equity,11.15699959,2010
EVC US Equity,15.28929996,2017
PEI US Equity,11.15699959,2010
PEI US Equity,9.91740036,2012
PEI US Equity,14.8760004,2017
TXCB US Equity,9.91740036,2010
PSSR US Equity,11.15699959,2010
PSSR US Equity,9.91740036,2014
PSSR US Equity,16.52890015,2015
PSSR US Equity,15.28929996,2016
VYEY US Equity,5.785099983,2010
VYEY US Equity,7.024799824,2011
VYEY US Equity,10.74380016,2012
VYEY US Equity,9.504099846,2013
CREG US Equity,14.04959965,2010
CREG US Equity,15.28929996,2012
ORC US Equity,13.5965004,2013
ORC US Equity,16.22809982,2014
PHX US Equity,11.20330048,2010
PHX US Equity,12.03320026,2011
PHX US Equity,12.86310005,2013
PHX US Equity,13.6928997,2016
PHX US Equity,14.52280045,2017
PHX US Equity,17.01239967,2018
MNOV US Equity,11.15699959,2010
MNOV US Equity,15.28929996,2017
TXMD US Equity,5.785099983,2010
TXMD US Equity,9.090900421,2011
TXMD US Equity,11.15699959,2012
TXMD US Equity,13.22309971,2014
TXMD US Equity,17.35540009,2016
MAXD US Equity,7.851200104,2010
INVU US Equity,8.264499664,2012
GENN US Equity,11.15699959,2010
GENN US Equity,15.28929996,2015
PTE US Equity,11.15699959,2010
PTE US Equity,12.80990028,2017
PTE US Equity,14.04959965,2018
PTE US Equity,16.52890015,2019
PALI US Equity,11.15699959,2010
PALI US Equity,13.63640022,2016
ZYXI US Equity,7.438000202,2011
ZYXI US Equity,10.74380016,2015
ZYXI US Equity,13.22309971,2018
ZYXI US Equity,15.28929996,2019
ZYXI US Equity,16.11569977,2020
MFIN US Equity,10.52630043,2010
MFIN US Equity,11.84210014,2011
MFIN US Equity,13.15789986,2017
MFIN US Equity,14.47369957,2018
MFIN US Equity,17.98250008,2020
RES US Equity,11.15699959,2010
RES US Equity,12.80990028,2015
RES US Equity,13.63640022,2016
AUD US Equity,11.15699959,2010
AUD US Equity,15.28929996,2012
AUD US Equity,14.04959965,2018
AUD US Equity,16.52890015,2019
DXLG US Equity,12.91870022,2010
DXLG US Equity,16.26790047,2017
AUTO US Equity,11.15699959,2010
AUTO US Equity,14.04959965,2017
AUTO US Equity,12.80990028,2018
LXRX US Equity,11.15699959,2010
LXRX US Equity,11.98349953,2013
LXRX US Equity,12.80990028,2014
LXRX US Equity,16.52890015,2016
OCC US Equity,11.15699959,2010
OCC US Equity,17.76860046,2017
CNET US Equity,12.80990028,2010
CNET US Equity,13.63640022,2016
STRM US Equity,11.15699959,2011
STRM US Equity,17.76860046,2017
BASXQ US Equity,11.15699959,2010
BASXQ US Equity,19.83469963,2014
BASXQ US Equity,15.70250034,2016
BASXQ US Equity,14.8760004,2017
AGEN US Equity,9.91740036,2010
AGEN US Equity,11.15699959,2011
AGEN US Equity,12.80990028,2016
AGEN US Equity,14.04959965,2017
AGEN US Equity,16.52890015,2018
BDSI US Equity,11.15699959,2010
BDSI US Equity,14.04959965,2016
BDSI US Equity,12.80990028,2018
NOVC US Equity,11.84210014,2010
NOVC US Equity,14.91230011,2015
YTEN US Equity,14.04959965,2010
YTEN US Equity,14.8760004,2011
YTEN US Equity,14.46280003,2017
YTEN US Equity,15.28929996,2018
AUSI US Equity,11.15699959,2011
BIMI US Equity,12.80990028,2010
BIMI US Equity,14.04959965,2014
BIMI US Equity,14.8760004,2019
BIMI US Equity,16.94210052,2020
RNWK US Equity,11.15699959,2010
RNWK US Equity,16.52890015,2017
RNWK US Equity,13.22309971,2019
PRSO US Equity,11.15699959,2010
PRSO US Equity,12.80990028,2016
PRSO US Equity,15.28929996,2018
SOHO US Equity,11.15699959,2011
SOHO US Equity,15.28929996,2017
SOHO US Equity,16.11569977,2018
ISSC US Equity,12.80990028,2010
ISSC US Equity,11.57019997,2018
ISSC US Equity,14.04959965,2020
FSP US Equity,11.15699959,2010
FSP US Equity,11.98349953,2012
FSP US Equity,12.80990028,2015
FSP US Equity,13.63640022,2017
SUWN US Equity,9.91740036,2010
ADES US Equity,11.15699959,2010
ADES US Equity,12.80990028,2017
ADES US Equity,14.8760004,2018
HBIO US Equity,14.04959965,2010
HBIO US Equity,12.80990028,2011
MOST US Equity,11.20330048,2011
MOST US Equity,10.37339973,2012
MOST US Equity,9.128600121,2013
MOST US Equity,8.713700294,2016
MOST US Equity,6.224100113,2017
XPL US Equity,15.28929996,2010
VASO US Equity,13.22309971,2011
VASO US Equity,14.04959965,2014
VASO US Equity,16.52890015,2016
SREV US Equity,11.15699959,2011
SREV US Equity,11.98349953,2014
SREV US Equity,14.04959965,2015
SREV US Equity,16.52890015,2017
SREV US Equity,19.00830078,2019
SREV US Equity,19.83469963,2020
MEEC US Equity,6.611599922,2010
MEEC US Equity,10.33059978,2015
MEEC US Equity,13.22309971,2017
MEEC US Equity,10.74380016,2018
ACUR US Equity,11.15699959,2010
ACUR US Equity,10.74380016,2017
ACUR US Equity,12.80990028,2020
OBLG US Equity,11.15699959,2011
OBLG US Equity,16.52890015,2016
VIRX US Equity,11.15699959,2010
VIRX US Equity,14.04959965,2016
CPRX US Equity,14.04959965,2014
CPRX US Equity,16.52890015,2017
CRIS US Equity,11.15699959,2010
CRIS US Equity,13.22309971,2012
CRIS US Equity,14.04959965,2016
AHT US Equity,11.15699959,2010
AHT US Equity,11.98349953,2012
AHT US Equity,16.94210052,2014
AHT US Equity,17.76860046,2016
AHT US Equity,18.59499931,2017
ACRX US Equity,7.851200104,2010
ACRX US Equity,11.98349953,2011
ACRX US Equity,11.15699959,2012
ACRX US Equity,15.28929996,2017
LTRX US Equity,11.15699959,2010
LTRX US Equity,16.52890015,2017
STAB US Equity,11.15699959,2010
STAB US Equity,9.91740036,2012
STAB US Equity,10.33059978,2015
STAB US Equity,16.52890015,2017
NL US Equity,11.15699959,2010
NL US Equity,14.04959965,2014
NL US Equity,12.80990028,2016
NL US Equity,16.52890015,2019
NL US Equity,17.35540009,2020
APEN US Equity,11.15699959,2010
APEN US Equity,15.28929996,2016
SYNE US Equity,11.15699959,2012
SYNE US Equity,15.28929996,2017
SYNE US Equity,14.04959965,2019
HIL US Equity,11.15699959,2010
